"Iteration","WSS_y Monitor: WSS_y Monitor (N)"
1.0,6.667165186680341E-4
2.0,-0.0335979553150486
3.0,-0.02463245521643247
4.0,-0.0203619522638414
5.0,-0.021378204088529685
6.0,-0.021657659873299245
7.0,-0.022466529602559283
8.0,-0.023159344951909584
9.0,-0.023489354001462782
10.0,-0.023956925702823765
11.0,-0.024615093256258515
12.0,-0.025157338667794266
13.0,-0.025647203039320148
14.0,-0.02599630038948428
15.0,-0.02629826213715452
16.0,-0.026519841087008767
17.0,-0.026662769129631808
18.0,-0.02673226559805536
19.0,-0.026703804465957288
20.0,-0.02655167640868722
21.0,-0.02642448644600098
22.0,-0.02620756607293151
23.0,-0.025964677577841554
24.0,-0.025676806291881356
25.0,-0.025356533919590717
26.0,-0.02500221440819255
27.0,-0.02461993313667984
28.0,-0.024216610628616173
29.0,-0.023794682425300015
30.0,-0.023359209878721362
31.0,-0.02291446823236068
32.0,-0.022463784115040412
33.0,-0.022010410165669046
34.0,-0.021558850989752323
35.0,-0.021111016206348768
36.0,-0.020667052120376582
37.0,-0.020233418983913717
38.0,-0.01980900703104316
39.0,-0.019395805673279892
40.0,-0.01899410923642455
41.0,-0.018603058718592413
42.0,-0.018225838168167245
43.0,-0.017864593754471605
44.0,-0.01751746610432672
45.0,-0.017184370400510803
46.0,-0.01686756830672708
47.0,-0.016566452733676258
48.0,-0.01628103722512013
49.0,-0.016011427767544148
50.0,-0.015757294125396684
51.0,-0.015518199073522332
52.0,-0.015294257034372866
53.0,-0.015085737827288719
54.0,-0.01489335322985353
55.0,-0.014715117918558385
56.0,-0.014549769039779005
57.0,-0.014400730730518237
58.0,-0.014267155706079662
59.0,-0.01414208854974924
60.0,-0.014032965346253366
61.0,-0.013931775189901666
62.0,-0.01384496392687454
63.0,-0.01376545578103093
64.0,-0.013698801117865152
65.0,-0.013637852096558283
66.0,-0.013588545024749104
67.0,-0.013545524433039679
68.0,-0.013510015692602663
69.0,-0.013483286041929969
70.0,-0.013461545016075275
71.0,-0.013448275048483135
72.0,-0.013439334678147133
73.0,-0.01343774148302397
74.0,-0.01344041593703197
75.0,-0.013448893231570084
76.0,-0.01346317650265339
77.0,-0.013480262046550352
78.0,-0.01350217536062998
79.0,-0.013527475657022383
80.0,-0.01355624361558551
81.0,-0.013588232329829484
82.0,-0.01362318431228137
83.0,-0.013660885794988281
84.0,-0.013701367841498065
85.0,-0.01374435874549133
86.0,-0.01378962793224512
87.0,-0.013836999293675803
88.0,-0.013886264000350403
89.0,-0.013937240291758952
90.0,-0.013989801017876754
91.0,-0.014043645195083396
92.0,-0.014098858083906003
93.0,-0.014155195402600948
94.0,-0.014212397620613711
95.0,-0.014270405672785792
96.0,-0.014329055101423646
97.0,-0.014388252376715704
98.0,-0.0144477973232883
99.0,-0.014507641414598597
100.0,-0.014567621359014807
101.0,-0.01462786180200832
102.0,-0.014687999899086477
103.0,-0.014747986800643174
104.0,-0.014807733537545322
105.0,-0.014867214584173002
106.0,-0.014926295430551217
107.0,-0.014984892165669698
108.0,-0.01504283281305513
109.0,-0.015100101541290172
110.0,-0.015156643752199076
111.0,-0.015212434188856401
112.0,-0.0152674140664845
113.0,-0.015321530118425592
114.0,-0.015374717727946354
115.0,-0.015426979506383033
116.0,-0.015478259840417395
117.0,-0.015528533484928036
118.0,-0.015577751064066293
119.0,-0.015625875261120158
120.0,-0.015672964132026027
121.0,-0.015718985350166862
122.0,-0.015763714854604767
123.0,-0.015807377997422045
124.0,-0.015849587609599217
125.0,-0.015890823742571447
126.0,-0.015930532360925634
127.0,-0.01596927308352981
128.0,-0.016006656774998303
129.0,-0.01604277143136097
130.0,-0.016077639668428054
131.0,-0.016111308528694957
132.0,-0.01614387473957064
133.0,-0.01617488245575226
134.0,-0.016204930435905745
135.0,-0.01623347583780909
136.0,-0.016261190281750087
137.0,-0.01628757117719129
138.0,-0.016312865981392168
139.0,-0.016337046439768098
140.0,-0.01636009623849645
141.0,-0.016382093498195412
142.0,-0.01640306755689765
143.0,-0.016423062741583314
144.0,-0.01644210927074567
145.0,-0.01646037335539028
146.0,-0.016477580550431345
147.0,-0.016493969574182584
148.0,-0.016509653639270348
149.0,-0.01652454345393313
150.0,-0.016538760017527594
151.0,-0.016552317786025946
152.0,-0.016565226352640728
153.0,-0.01657762997793523
154.0,-0.016589423368146457
155.0,-0.01660086543540687
156.0,-0.01661173271836864
157.0,-0.016622202285448983
158.0,-0.016632657305667677
159.0,-0.01664249942943668
160.0,-0.016652154286814873
161.0,-0.016661903906312614
162.0,-0.01667116689312927
163.0,-0.016680386614957302
164.0,-0.016689608377483265
165.0,-0.016699040253075333
166.0,-0.016708044200142845
167.0,-0.016717371693211802
168.0,-0.016726756402242825
169.0,-0.01673631549347857
170.0,-0.01674605236351834
171.0,-0.016756007292689105
172.0,-0.01676612918840007
173.0,-0.016776559727999914
174.0,-0.01678728657984217
175.0,-0.016798346237676502
176.0,-0.016809758920641946
177.0,-0.01682154371500526
178.0,-0.016833715663365056
179.0,-0.01684628604592397
180.0,-0.016859262618496764
181.0,-0.016872649459641044
182.0,-0.016886449593823877
183.0,-0.0169006637565256
184.0,-0.01691529017819435
185.0,-0.016930323925589366
186.0,-0.01694575697114662
187.0,-0.016961581470409277
188.0,-0.016977787779675745
189.0,-0.01699436511009943
