"Plane Section: Position[X] (m)","Plane Section: Velocity[j] (m/s)"
0.00980702137164201,-0.003602024754583379
0.009401581650749669,-0.018407317315474472
0.008722657923233217,-0.04649115769059836
0.007670790606637495,-0.08441849964668366
0.006237984402725817,-0.11920537047080693
0.004446221111948926,-0.14428755281252031
0.002310979916768972,-0.15772431829135122
-4.8449668899882095E-5,-0.15597951850452302
-0.0024077395858911072,-0.1392608849996306
-0.004540280489198915,-0.11824974317361213
-0.006318220704115156,-0.09208656592465923
-0.007720098999609361,-0.06014413227970375
-0.008740463219966873,-0.02964463345085992
-0.009404755385976462,-0.01046145890503029
-0.009807211328756608,-0.0018726848748302958
